logFC logCPM PValue adj.PValue
401661 3.67624448539672 1.26238949953411 1.55154166573955e-20 2.50510506857885e-18
100820829 -1.51910544200326 3.1555065508105 1.5690320612152e-20 2.52188180300566e-18
54795 1.66310535411854 8.49169560848715 1.59273346699952e-20 2.54844529195e-18
7169 -1.76488970967563 9.86897871895129 1.69346476512684e-20 2.69746914448746e-18
6493 2.34434894132577 5.84160614703672 1.70879749829625e-20 2.7097408900438e-18
10257 2.03272157918151 9.09687535992796 1.7486505675626e-20 2.76061408046183e-18
1992 -1.42124206058841 4.85471961510524 1.76063244583588e-20 2.76499251413007e-18
64781 -1.36184825313176 4.68166945397675 1.76699220378797e-20 2.76499251413007e-18
122786 -1.27186076180214 6.02577777213947 1.8204050530051e-20 2.83607929332431e-18
374907 -1.62087337832177 2.03898762812988 1.8484946423682e-20 2.86726542321226e-18
100128881 1.80595021054072 3.0031796224419 1.90672065077773e-20 2.94472279288156e-18
30818 -1.36426953294808 2.9300931414863 2.09935792162419e-20 3.2281944906499e-18
341676 1.82116108441446 2.68414717037763 2.23814178292324e-20 3.42676871858692e-18
29799 1.28702712900228 2.12002810473497 3.560325813181e-20 5.41467811963301e-18
84709 -1.74140668892935 0.109166715264226 3.56700171727746e-20 5.41467811963301e-18
31 1.03928308929299 8.05378307920467 3.65443505675015e-20 5.52379521918392e-18
57402 -2.41731198832094 3.6973209786706 3.72755065145556e-20 5.61043757162512e-18
822 -1.4002896917119 6.07313422443928 3.81747208139378e-20 5.72153695372103e-18
1188 -2.21533579400834 -0.0379614049437648 3.84546257381322e-20 5.73927210438737e-18
9545 1.02091261333929 6.78384671153888 3.9896097249588e-20 5.92949485524106e-18
162494 -1.64460131913903 1.6555462965239 4.09250107594613e-20 6.04276670546911e-18
79734 -1.16983816156158 3.16659491726798 4.09984734669085e-20 6.04276670546911e-18
219293 -1.44136781763627 2.37163899650632 4.28807747434548e-20 6.26818106856897e-18
6237 -1.12255665086863 6.33447492283146 4.28273392502424e-20 6.26818106856897e-18
8395 -1.78423889956917 2.7132471057713 4.35519471095301e-20 6.34019964458041e-18
25822 -1.54005108965773 5.29749929832838 4.47398996510012e-20 6.48655500205394e-18
3779 -1.60526057836617 6.11956476382824 4.50812161596391e-20 6.50947105368512e-18
6425 -4.13716915366418 1.80490844729425 4.55209748992139e-20 6.5463584995748e-18
51209 -1.67740822419846 3.40046149312082 4.62422048506763e-20 6.62326354234222e-18
7754 -1.43008598762629 3.40558369052375 5.21997447891304e-20 7.44653467732812e-18
692086 5.55967211185818 1.49025762046044 5.29447024452558e-20 7.52259510223172e-18
60370 -1.36885286316298 4.1570829710972 5.34796380018265e-20 7.53829452961459e-18
51090 -1.81236184975059 4.07517842043575 5.34709460528338e-20 7.53829452961459e-18
8437 -3.47165230513367 1.62492265730933 5.49010773593615e-20 7.7080678611932e-18
6443 -1.08472593554259 5.66060357188865 5.57867810992312e-20 7.80158366703068e-18
