id	7403bf3f-1678-4b86-b094-c87c993e583f	0d6f8d7e-2709-41be-a986-163c3763724d
100873412	0.0	0.0
100873411	0.0	0.0
100128675	7.0	1.0
100873410	0.0	0.0
100873417	5.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	10.0	4.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	479.0	362.0
200734	5347.0	8406.0
100861431	0.0	1.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	0.0	2.0
100873402	0.0	0.0
100873401	1.0	2.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4498.0	7096.0
100873406	0.0	0.0
100873405	2.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	3.0	3.0
165530	127.0	64.0
85409	150.0	480.0
106481385	5.0	1.0
106481386	0.0	0.0
85416	20.0	26.0
106481383	5.0	8.0
85417	86.0	98.0
106481384	0.0	0.0
103106903	7.0	2.0
85414	499.0	709.0
106481389	0.0	0.0
85415	3936.0	3184.0
106481387	0.0	0.0
85413	10.0	8.0
106481388	8.0	3.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	11.0	42.0
106481380	0.0	0.0
11	0.0	0.0
403341	1397.0	2193.0
12	160.0	403.0
13	189.0	2.0
14	2241.0	5913.0
15	6.0	1.0
16	4498.0	8143.0
645455	24.0	42.0
18	1084.0	3035.0
19	5296.0	4620.0
128580	29.0	11.0
85407	205.0	634.0
106481396	0.0	0.0
106481397	1.0	1.0
106481394	0.0	0.0
85406	1099.0	2755.0
106481395	1.0	1.0
85403	2290.0	3246.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	3013.0	4942.0
106481390	0.0	0.0
21	2880.0	4153.0
106481391	0.0	0.0
22	2537.0	2120.0
153571	351.0	269.0
153572	5425.0	1324.0
23	3488.0	6821.0
24	455.0	244.0
25	5667.0	10897.0
26	11.0	159.0
27	4508.0	7762.0
28	787.0	271.0
29	4591.0	5154.0
153579	3912.0	286.0
728615	0.0	0.0
728614	0.0	0.0
200765	701.0	361.0
106481358	1.0	0.0
106481359	0.0	0.0
728611	17.0	31.0
102466518	1.0	1.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1858.0	1574.0
106481362	0.0	0.0
106481367	1.0	1.0
85437	3053.0	4311.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	247.0	157.0
106481366	0.0	0.0
30	842.0	1690.0
106481360	0.0	0.0
31	6289.0	20038.0
32	6624.0	1905.0
33	444.0	38.0
34	5318.0	3971.0
35	608.0	649.0
153562	2236.0	3281.0
36	8823.0	5824.0
37	11608.0	5553.0
38	3819.0	2839.0
440307	11.0	16.0
39	875.0	2131.0
165545	12.0	14.0
106481369	0.0	0.0
728606	78.0	10.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	3.0	3.0
106481379	0.0	0.0
106481376	2.0	0.0
106481377	0.0	0.0
403315	5.0	0.0
40	11.0	5.0
106481370	0.0	0.0
41	890.0	178.0
106481371	0.0	0.0
43	34.0	74.0
645486	0.0	0.0
47	6437.0	25750.0
