id	891fa657-fa9c-46b3-b751-e337d88e08ae	7aa14420-27a6-4d42-82e0-f30878a8ab1c
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	115.0	102.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	204.0	77.0
200734	3656.0	3830.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	14.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	0.0	2.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3178.0	5618.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	4.0	1.0
165530	115.0	10.0
85409	216.0	573.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	9.0
106481383	1.0	1.0
85417	49.0	23.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	312.0	667.0
106481389	0.0	0.0
85415	2293.0	1048.0
106481387	0.0	0.0
85413	0.0	0.0
106481388	5.0	3.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	2.0	10.0
106481380	0.0	0.0
11	0.0	0.0
403341	875.0	882.0
12	162.0	410.0
13	519.0	1.0
14	5333.0	8762.0
15	0.0	1.0
16	5533.0	7920.0
645455	1.0	11.0
18	1209.0	1459.0
19	6270.0	2982.0
128580	5.0	4.0
85407	71.0	157.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1321.0	2826.0
106481395	0.0	0.0
85403	1331.0	13612.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	2.0
106481393	0.0	0.0
20	3881.0	6394.0
106481390	0.0	0.0
21	2835.0	6562.0
106481391	0.0	0.0
22	1165.0	1230.0
153571	396.0	4270.0
153572	2929.0	11277.0
23	3987.0	5457.0
24	159.0	45.0
25	6638.0	9427.0
26	3.0	9.0
27	2805.0	1774.0
28	495.0	103.0
29	5301.0	3307.0
153579	6523.0	143.0
728615	0.0	0.0
728614	0.0	0.0
200765	170.0	334.0
106481358	0.0	4.0
106481359	0.0	0.0
728611	164.0	142.0
102466518	1.0	1.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	572.0	1733.0
106481362	0.0	0.0
106481367	2.0	0.0
85437	1655.0	3602.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	174.0	116.0
106481366	0.0	0.0
30	2040.0	1718.0
106481360	0.0	0.0
31	4347.0	3801.0
32	22459.0	765.0
33	243.0	2.0
34	2364.0	2879.0
35	1780.0	407.0
153562	1163.0	2886.0
36	8265.0	5111.0
37	17441.0	6165.0
38	2757.0	1902.0
440307	6.0	7.0
39	464.0	1082.0
165545	9.0	27.0
106481369	0.0	0.0
728606	92.0	326.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	5.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	13.0	8.0
106481370	0.0	0.0
41	308.0	200.0
106481371	0.0	0.0
43	137.0	24.0
645486	0.0	0.0
47	8504.0	10137.0
48	6762.0	4378.0
49	8.0	5.0
106481338	0.0	0.0
