id	73bcbb60-38af-4143-95e9-1a842cdf9c20	5c0f9cb8-cc53-49ce-8384-6acb54cb1855
106481471	0.0	0.0
85329	1889.0	381.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	384.0	28000.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	441.0	1789.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	0.0	0.0
106481437	0.0	0.0
26974	191.0	259.0
153657	45.0	58.0
106481438	0.0	1.0
106481435	0.0	0.0
26973	1106.0	1634.0
165631	90.0	191.0
106481436	2.0	0.0
26978	9.0	8.0
126075	392.0	756.0
106481439	0.0	0.0
403250	0.0	0.0
126074	171.0	317.0
403251	0.0	0.0
106481440	1.0	0.0
106481441	0.0	0.0
85359	1109.0	1357.0
106481444	6.0	3.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2505.0	2847.0
85354	0.0	0.0
85352	60.0	63.0
403241	0.0	0.0
344462	1.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	485.0	1070.0
153643	8.0	5.0
403247	0.0	0.0
403248	0.0	0.0
26985	3493.0	4169.0
106481448	0.0	0.0
26986	50755.0	64212.0
126069	102.0	303.0
106481449	0.0	0.0
126068	526.0	1472.0
106481446	0.0	0.0
26983	0.0	0.0
26984	729.0	1137.0
106481447	0.0	0.0
106481451	2.0	4.0
106481452	0.0	0.0
106481450	0.0	3.0
114088	471.0	91.0
106481455	0.0	0.0
85349	99.0	32.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	2.0	4.0
85347	0.0	0.0
26980	3.0	3.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	154.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	7.0	47.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	10.0	2.0
100873392	1.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1606.0	3523.0
100873390	0.0	0.0
728556	55.0	111.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	97.0	129.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	348.0	891.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	4.0	3.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	172.0	905.0
100873384	0.0	0.0
285601	7.0	10.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	1.0
63910	180.0	146.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	484.0	1388.0
222008	0.0	78.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	2347.0	3051.0
63904	0.0	0.0
106481430	0.0	1.0
163071	72.0	83.0
63906	632.0	752.0
106481433	0.0	0.0
63908	539.0	890.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	3.0	1.0
285613	39.0	54.0
63920	320.0	820.0
63923	1354.0	1208.0
63922	291.0	3194.0
728577	193.0	94.0
63925	1253.0	2147.0
63924	10748.0	1295.0
63916	2322.0	4186.0
63917	2548.0	3446.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	3.0
728564	3.0	1.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1150.0	2066.0
106481402	0.0	0.0
63931	1434.0	2807.0
106481403	0.0	2.0
63934	472.0	699.0
728567	7.0	1.0
106481408	0.0	0.0
163088	2.0	9.0
63933	1871.0	2879.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2726.0	2654.0
163087	624.0	901.0
728568	255.0	432.0
106481407	4.0	3.0
3704	1049.0	2357.0
3705	4381.0	6361.0
63926	685.0	1495.0
3706	59.0	108.0
63929	798.0	1510.0
3707	4160.0	5793.0
63928	10.0	41.0
3708	10437.0	31885.0
106481411	0.0	0.0
3709	9745.0	11688.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	14.0	11.0
3702	302.0	492.0
3703	8256.0	10609.0
645506	0.0	0.0
151050	1140.0	708.0
645520	0.0	0.0
63941	866.0	2035.0
63940	1204.0	1076.0
63943	205.0	800.0
728517	0.0	0.0
163033	276.0	716.0
258010	1566.0	2613.0
63947	0.0	0.0
63946	0.0	36.0
728513	2.0	0.0
100033803	0.0	0.0
3716	14721.0	11375.0
100033804	0.0	0.0
3717	1520.0	1755.0
100033805	0.0	0.0
3718	609.0	727.0
63939	1258.0	2217.0
100033806	0.0	0.0
100190799	2.0	10.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	92.0	70.0
3710	4673.0	9931.0
3712	4051.0	10011.0
3713	0.0	0.0
3714	2613.0	2032.0
63950	2.0	0.0
728505	1.0	0.0
63951	148.0	35.0
100033807	0.0	0.0
728501	21.0	4.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	12086.0	7402.0
100033814	0.0	0.0
3727	6696.0	8474.0
63948	0.0	0.0
100033815	0.0	0.0
222052	2.0	2.0
3728	16627.0	19150.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1413.0	3251.0
151056	273.0	160.0
3725	20976.0	17144.0
645528	0.0	2.0
728532	28.0	20.0
163059	196.0	583.0
728538	9.0	0.0
728537	153.0	131.0
63967	32.0	316.0
3737	89.0	22.0
3738	211.0	172.0
3739	10.0	2.0
645538	0.0	0.0
3730	1573.0	1589.0
3732	3654.0	3849.0
3734	9.0	1.0
3735	6176.0	5949.0
3736	74.0	39.0
63970	157.0	60.0
3750	237.0	172.0
63971	5430.0	4369.0
63974	0.0	0.0
163049	1716.0	3415.0
63973	81.0	11.0
63976	158.0	113.0
222068	4752.0	8678.0
63978	0.0	1.0
63977	515.0	865.0
63979	812.0	1822.0
728524	0.0	0.0
3748	337.0	857.0
163051	21.0	57.0
3749	1660.0	1215.0
163050	62.0	159.0
3741	17.0	58.0
645548	8.0	16.0
3743	3.0	4.0
3744	0.0	0.0
3745	1712.0	244.0
3746	19.0	10.0
3747	288.0	4.0
285671	689.0	382.0
285672	1637.0	2152.0
