id	e9a2c588-ffce-42f6-9ba2-45a859fef61f	d5111826-39cb-46aa-bc9a-e00d6e8ede38
106481421	0.0	0.0
100873399	1.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	13.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	302.0	147.0
100873384	0.0	0.0
285601	5.0	18.0
106481426	0.0	0.0
106481427	0.0	2.0
222005	0.0	0.0
63910	77.0	1902.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1115.0	483.0
222008	17.0	0.0
106481428	0.0	0.0
106481429	1.0	0.0
63905	4574.0	3281.0
63904	0.0	0.0
106481430	2.0	2.0
163071	554.0	529.0
63906	947.0	936.0
106481433	0.0	0.0
63908	1172.0	1055.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	13.0	33.0
285613	134.0	206.0
63920	982.0	684.0
63923	341.0	34.0
63922	606.0	1032.0
728577	15.0	15.0
63925	2587.0	1965.0
63924	2.0	0.0
63916	2690.0	3851.0
63917	5136.0	3825.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	0.0
728564	1.0	4.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1621.0	1375.0
106481402	2.0	0.0
63931	2436.0	1306.0
106481403	1.0	0.0
63934	1285.0	1925.0
728567	4.0	1.0
106481408	0.0	0.0
163088	6.0	14.0
63933	3407.0	2221.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	5103.0	3601.0
163087	1314.0	741.0
728568	557.0	562.0
106481407	5.0	11.0
3704	2146.0	3662.0
3705	2941.0	3168.0
63926	1230.0	850.0
3706	8.0	32.0
63929	1742.0	1113.0
3707	1918.0	2071.0
63928	0.0	3.0
3708	17460.0	897.0
106481411	0.0	0.0
3709	3106.0	3024.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	31.0	31.0
3702	204.0	103.0
3703	11552.0	7598.0
645506	0.0	0.0
151050	2644.0	2446.0
645520	0.0	0.0
63941	2217.0	2637.0
63940	251.0	511.0
63943	565.0	510.0
728517	0.0	0.0
163033	600.0	1084.0
258010	4815.0	3885.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	9374.0	8213.0
100033804	0.0	0.0
3717	868.0	588.0
100033805	0.0	0.0
3718	148.0	1938.0
63939	1428.0	1020.0
100033806	0.0	0.0
100190799	2.0	8.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	181.0	220.0
